# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,578.176147
-50.0,50,579.894917
-50.0,50,580.003436
-50.0,50,580.121781
-50.0,50,580.224012
-50.0,50,580.37233
-50.0,50,580.475759
-50.0,50,580.56573
-50.0,50,580.66141
-50.0,50,580.759422
-50.0,50,580.8483
-50.0,50,580.932216
0.0,50,582.329495
-50.0,50,584.086823
-50.0,50,585.714082
-50.0,50,587.169087
-50.0,50,588.585964
-50.0,50,590.226339
-50.0,50,591.622159
-50.0,50,593.024049
-50.0,50,594.440235
-50.0,50,595.848535
-50.0,50,595.945469
-50.0,50,596.069127
-50.0,50,596.177588
-50.0,50,596.288391
-50.0,50,596.381058
-50.0,50,596.477235
-50.0,50,596.577639
-50.0,50,596.667576
-50.0,50,596.759337
-50.0,50,596.854882
-50.0,50,598.328669
-50.0,50,599.862401
-50.0,50,601.315087
-50.0,50,602.760047
-50.0,50,604.159975
-50.0,50,605.592492
-50.0,50,607.13371
-50.0,50,608.530138
-50.0,50,609.930533
-50.0,50,611.347443
-50.0,50,611.456184
-50.0,50,611.550205
-50.0,50,611.643586
-50.0,50,611.746646
-50.0,50,611.840357
-50.0,50,611.934327
-50.0,50,612.02411
-50.0,50,612.129586
-50.0,50,612.218296
-50.0,50,612.30176
0.0,50,613.649319
-50.0,50,615.026667
-50.0,50,616.410277
-50.0,50,617.838916
-50.0,50,619.227481
-50.0,50,620.60923
-50.0,50,621.987916
-50.0,50,623.383371
-50.0,50,624.841299
-50.0,50,626.242832
-50.0,50,626.35134
-50.0,50,626.445447
-50.0,50,626.546228
-50.0,50,626.656162
-50.0,50,626.748617
-50.0,50,626.835562
-50.0,50,626.929906
-50.0,50,627.015807
-50.0,50,627.10611
-50.0,50,627.204366
-50.0,50,628.555429
-50.0,50,629.939593
-50.0,50,631.311386
-50.0,50,632.70311
-50.0,50,634.089371
-50.0,50,635.4984
-50.0,50,636.880373
-50.0,50,638.291038
-50.0,50,639.675289
-50.0,50,641.103697
-50.0,50,641.208225
-50.0,50,641.319752
-50.0,50,641.416168
-50.0,50,641.510268
-50.0,50,641.603232
-50.0,50,641.705705
-50.0,50,641.799685
-50.0,50,641.898799
-50.0,50,641.991267
-50.0,50,642.076883
-50.0,50,643.534817
-50.0,50,645.073655
-50.0,50,646.511375
-50.0,50,647.93164
-50.0,50,649.337765
-50.0,50,650.757958
-50.0,50,652.243631
-50.0,50,653.655823
-50.0,50,655.136842
-50.0,50,656.710837
-50.0,50,656.833563
-50.0,50,656.947827
-50.0,50,657.044364
-50.0,50,657.159682
-50.0,50,657.260695
-50.0,50,657.352241
-50.0,50,657.442709
-50.0,50,657.537189
-50.0,50,657.638229
-50.0,50,657.740494
-50.0,50,659.626325
-50.0,50,661.130647
-50.0,50,663.154017
-50.0,50,664.975355
-50.0,50,666.563027
-50.0,50,668.596325
-50.0,50,670.296611
-50.0,50,671.993784
-50.0,50,673.4731
-50.0,50,674.935431
-50.0,50,675.14869
-50.0,50,675.25138
-50.0,50,675.436274
-50.0,50,675.541286
-50.0,50,675.641739
-50.0,50,675.750142
-50.0,50,675.888756
-50.0,50,675.993915
-50.0,50,676.097927
-50.0,50,676.273643
-50.0,50,678.068022
-50.0,50,679.601518
-50.0,50,681.180328
-50.0,50,682.719489
-50.0,50,684.133722
-50.0,50,685.953454
-50.0,50,687.493208
-50.0,50,689.138565
-46.0,50,690.720753
-50.0,50,692.372852
-50.0,50,692.481535
-50.0,50,692.60668
-50.0,50,692.70448
-50.0,50,692.804894
-50.0,50,692.897969
-50.0,50,692.989739
-50.0,50,693.078192
-50.0,50,693.168976
-50.0,50,693.257141
-50.0,50,693.345743
-50.0,50,694.686213
-50.0,50,696.053594
-50.0,50,697.460054
-50.0,50,698.904232
-50.0,50,700.444498
-50.0,50,702.387319
-50.0,50,703.808816
-50.0,50,705.252363
-50.0,50,706.76522
-50.0,50,708.376046
-50.0,50,708.483624
-50.0,50,708.585098
-50.0,50,708.690467
-50.0,50,708.78747
-50.0,50,708.885782
-50.0,50,708.97769
-50.0,50,709.069535
-50.0,50,709.174647
-50.0,50,709.269561
-50.0,50,709.359655
-50.0,50,710.933485
-50.0,50,712.306123
-50.0,50,713.678251
-50.0,50,715.06281
-50.0,50,716.445476
0.0,50,717.843637
-50.0,50,719.21359
-50.0,50,720.585221
-50.0,50,721.972947
-50.0,50,723.367002
-50.0,50,723.464439
-50.0,50,723.561889
-50.0,50,723.65264
-50.0,50,723.756821
-50.0,50,723.855548
-50.0,50,723.955726
-50.0,50,724.054013
-50.0,50,724.14017
-50.0,50,724.226231
-50.0,50,724.311739
-50.0,50,725.705904
-50.0,50,727.082305
-50.0,50,728.49619
-50.0,50,729.897513
-50.0,50,731.266432
-50.0,50,732.630911
-50.0,50,734.00468
-50.0,50,735.391859
-50.0,50,736.765467
-50.0,50,738.176482
-50.0,50,738.278086
-50.0,50,738.370734
-50.0,50,738.466447
-50.0,50,738.55724
-50.0,50,738.647761
-50.0,50,738.736365
-50.0,50,738.824866
-50.0,50,738.917103
-50.0,50,739.014424
-49.0,50,739.103246
-50.0,50,740.452176
-50.0,50,741.82045
-50.0,50,743.198053
-50.0,50,744.567306
-50.0,50,745.94572
-50.0,50,747.340524
-50.0,50,748.786851
-50.0,50,750.153225
-50.0,50,751.527384
-50.0,50,752.9288
-50.0,50,753.047249
-50.0,50,753.147599
-50.0,50,753.245425
-50.0,50,753.343303
-50.0,50,753.435302
-50.0,50,753.529567
-50.0,50,753.622926
-50.0,50,753.717137
-50.0,50,753.805261
0.0,50,753.886188
-50.0,50,755.326992
-50.0,50,756.878066
-50.0,50,758.517578
-50.0,50,760.023408
-50.0,50,761.520374
-50.0,50,762.922244
-50.0,50,764.329744
-50.0,50,766.11411
-47.0,50,767.583186
-50.0,50,769.09608
-50.0,50,769.200795
-50.0,50,769.301181
-50.0,50,769.395298
-50.0,50,769.503552
-50.0,50,769.614669
-50.0,50,769.708326
-50.0,50,769.797637
-50.0,50,769.888811
-50.0,50,769.982469
-50.0,50,770.093997
-50.0,50,771.789725
-50.0,50,773.310521
-50.0,50,774.933274
-50.0,50,776.50341
-50.0,50,778.121402
-50.0,50,779.721037
-50.0,50,781.268262
0.0,50,783.621033
-50.0,50,785.185115
-50.0,50,786.651523
-50.0,50,786.754503
-50.0,50,786.852684
-50.0,50,786.951794
-50.0,50,787.049614
-50.0,50,787.171728
-50.0,50,787.261642
-50.0,50,787.350268
-50.0,50,787.438332
-50.0,50,787.530037
-50.0,50,787.610543
-50.0,50,788.962902
0.0,50,790.341225
-50.0,50,791.721483
-50.0,50,793.100105
-50.0,50,794.478389
-50.0,50,795.862215
-50.0,50,797.258909
-50.0,50,798.62152
-50.0,50,800.000494
0.0,50,801.382548
-50.0,50,801.486471
-50.0,50,801.581209
-50.0,50,801.681107
-50.0,50,801.774215
-50.0,50,801.871556
-50.0,50,801.959141
-50.0,50,802.043996
-50.0,50,802.139894
-50.0,50,802.226798
-50.0,50,802.311011
-50.0,50,803.654658
-50.0,50,805.040471
-50.0,50,806.411311
-50.0,50,807.800922
-50.0,50,809.16727
0.0,50,810.625954
-50.0,50,811.988837
-50.0,50,813.370316
-50.0,50,814.73226
-50.0,50,816.131765
