# {"t_start": 1745264905.2853973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,818.626243
-50.0,50,820.281246
-50.0,50,820.385107
-50.0,50,820.489164
-50.0,50,820.592643
0.0,50,820.685169
-50.0,50,820.775119
-50.0,50,820.872344
-50.0,50,820.960925
-50.0,50,821.049569
-50.0,50,821.143272
-50.0,50,821.224272
-50.0,50,822.649159
-50.0,50,824.03453
0.0,50,825.446887
-50.0,50,826.933595
-50.0,50,828.457991
-50.0,50,829.903542
-50.0,50,831.341393
-50.0,50,832.721085
-50.0,50,834.110457
-50.0,50,835.549778
-50.0,50,835.687214
-50.0,50,835.799488
-50.0,50,835.897707
-50.0,50,836.002255
-50.0,50,836.093278
-50.0,50,836.187857
-50.0,50,836.277453
-50.0,50,836.370155
-50.0,50,836.458902
-50.0,50,836.548036
-50.0,50,837.995875
-50.0,50,839.440716
-50.0,50,840.924553
-50.0,50,842.41847
-50.0,50,843.940606
-50.0,50,845.419768
-50.0,50,846.878223
-50.0,50,848.339835
-50.0,50,849.719069
-50.0,50,851.123917
-50.0,50,851.220591
-50.0,50,851.316165
-50.0,50,851.430681
-50.0,50,851.542794
-50.0,50,851.65522
-50.0,50,851.765322
-50.0,50,851.865898
-50.0,50,851.958314
0.0,50,852.049102
-50.0,50,852.157491
-50.0,50,853.602844
-50.0,50,855.194239
-50.0,50,856.650499
-50.0,50,858.201607
-50.0,50,859.658736
-50.0,50,861.091279
-50.0,50,862.517616
-50.0,50,863.981877
-50.0,50,865.41638
-50.0,50,866.909526
-50.0,50,867.032238
-50.0,50,867.181899
-50.0,50,867.347159
-50.0,50,867.441393
-50.0,50,867.545288
-50.0,50,867.633015
-50.0,50,867.732705
-50.0,50,867.821841
-50.0,50,867.918319
-50.0,50,868.004702
-50.0,50,869.458608
-50.0,50,870.849979
-50.0,50,872.324793
-50.0,50,873.734288
-50.0,50,875.106583
-50.0,50,876.482534
-50.0,50,877.851698
-50.0,50,879.218314
-50.0,50,880.590801
-50.0,50,881.992019
-50.0,50,882.181876
-50.0,50,882.289405
-50.0,50,882.37907
-50.0,50,882.479377
0.0,50,882.565085
-50.0,50,882.670884
-50.0,50,882.760193
-50.0,50,882.853652
-50.0,50,882.959426
-50.0,50,883.048732
-50.0,50,884.399917
-50.0,50,885.771045
-50.0,50,887.191965
-50.0,50,888.600842
-50.0,50,889.97513
-50.0,50,891.412863
-50.0,50,892.849164
-50.0,50,894.230185
-50.0,50,895.599436
